DateTime,Temperature,DewPoint,WindDirection,Humidity,Pressure,WindSpeed
22:08,77,58,SE,53,29.91,2
23:08,77,59,SE,55,29.92,2
00:08,75,61,ESE,63,29.93,3
01:08,73,65,ESE,76,29.92,5
02:08,72,66,ESE,81,29.91,5
03:08,71,67,ESE,86,29.9,5
04:08,70,68,ESE,92,29.9,5
05:08,70,69,ESE,98,29.91,4
06:08,69,69,ESE,100,29.93,4
07:08,69,69,ESE,100,29.94,4
08:08,71,69,ESE,96,29.96,4
09:08,74,68,SE,83,29.98,5
10:08,78,65,SE,64,29.97,6
11:08,82,61,SE,50,29.95,7
12:08,85,57,ESE,39,29.92,8
13:08,87,55,ESE,33,29.89,8
14:08,89,53,ESE,29,29.84,9
15:08,90,52,E,27,29.8,9
16:08,91,50,ESE,25,29.78,9
17:08,90,50,ESE,25,29.77,9
18:08,88,51,ESE,28,29.79,10
19:08,86,52,ESE,32,29.82,8
20:08,83,53,ESE,36,29.85,8
21:08,80,55,ESE,42,29.88,8
